Date,GLD,SPY,TLT
2009-04-01,91.03,64.405464,76.43876
2009-04-02,88.8,66.28853,75.504555
2009-04-03,87.59,66.948,73.95954
2009-04-06,85.27,66.4236,73.64336
2009-04-07,86.74,64.874245,73.83019
2009-04-08,86.61,65.57344,74.48413
2009-04-09,86.31,68.17953,73.549934
2009-04-13,87.88,68.19543,74.22543
2009-04-14,87.37,67.0195,74.61348
2009-04-15,87.5,67.73459,74.48413
2009-04-16,85.81,68.72777,73.89487
2009-04-17,85.22,69.1886,73.08283
2009-04-20,86.95,66.28853,74.1895
2009-04-21,86.89,67.583626,73.45651
2009-04-22,87.38,67.17046,73.01097
2009-04-23,88.8,67.82993,73.003784
2009-04-24,89.72,68.8549,72.270805
2009-04-27,89.01,68.20337,72.57981
2009-04-28,87.75,67.988846,71.3941
2009-04-29,88.33,69.434906,70.76172
2009-04-30,87.27,69.45874,70.48146
2009-05-01,86.95,69.83218,69.99637
2009-05-04,88.6401,72.207855,70.22702
2009-05-05,88.25,71.96155,70.140526
2009-05-06,89.54,73.20898,69.97474
2009-05-07,89.44,72.19196,68.26646
2009-05-08,89.98,73.87639,68.43224
2009-05-11,89.69,72.49389,69.40531
2009-05-12,90.7,72.279366,69.65759
2009-05-13,91.09,70.45986,70.41443
2009-05-14,91.03,71.06372,70.68833
2009-05-15,91.55,70.483696,70.6667
2009-05-18,90.36,72.48595,69.57109
2009-05-19,90.96,72.398544,69.20349
2009-05-20,92.25,71.91387,69.93149
2009-05-21,93.85,70.880974,68.17276
2009-05-22,94.15,70.73,67.41592
2009-05-26,93.76,72.541565,66.399605
2009-05-27,93.45,71.24646,65.2247
2009-05-28,94.24,72.23963,66.168945
2009-05-29,96.2,73.518845,67.87723
2009-06-01,95.73,75.298615,65.87053
2009-06-02,96.36,75.36218,66.22487
2009-06-03,94.41,74.40873,66.84676
2009-06-04,96.23,75.107925,65.46557
2009-06-05,93.71,75.12382,64.966606
2009-06-08,93.56,74.81395,64.800285
2009-06-09,93.83,75.19533,64.79305
2009-06-10,93.86,75.00464,63.773434
2009-06-11,93.7,75.33834,64.48211
2009-06-12,92.17,75.54493,65.060616
2009-06-15,91.1,73.81283,65.646355
2009-06-16,91.93,72.81171,66.78891
2009-06-17,92.35,72.7402,66.41288
2009-06-18,91.61,73.27254,65.40772
2009-06-19,91.9,73.54276,66.30441
2009-06-22,90.54,71.33743,66.948006
2009-06-23,90.92,71.393364,67.73622
2009-06-24,91.45,72.00862,67.05647
2009-06-25,92.31,73.57472,68.285805
2009-06-26,92.29,73.38295,68.401505
2009-06-29,92.04,74.070114,68.50275
2009-06-30,91.18,73.47085,68.38705
2009-07-01,92.39,73.77448,68.25138
2009-07-02,91.25,71.76092,68.41099
2009-07-06,90.76,71.75294,68.2804
2009-07-07,90.71,70.36262,68.73744
2009-07-08,89.27,70.314674,70.006996
2009-07-09,89.51,70.45051,69.172714
2009-07-10,89.58,70.282715,69.81113
2009-07-13,90.19,71.99264,69.41938
2009-07-14,90.81,72.40015,68.26589
2009-07-15,92.24,74.51758,66.51028
2009-07-16,91.98,74.39772,67.22848
2009-07-17,91.93,75.21273,66.19107
2009-07-20,93.28,76.011765,66.5393
2009-07-21,93.13,76.363335,67.86689
2009-07-22,93.44,76.34736,67.2575
2009-07-23,93.26,78.03332,66.024216
2009-07-24,93.41,78.35292,66.343414
2009-07-27,93.71,78.58464,65.58169
2009-07-28,92.11,78.21709,66.162056
2009-07-29,91.2,78.02532,66.52478
2009-07-30,91.62,78.84033,67.46789
2009-07-31,93.35,78.952194,68.78097
2009-08-03,93.87,80.254616,67.73861
2009-08-04,94.68,80.462364,67.19996
2009-08-05,94.78,80.230644,66.19546
2009-08-06,94.6,79.81515,66.421104
2009-08-07,93.75,80.86188,65.8679
2009-08-10,92.927,80.694084,66.69043
2009-08-11,92.79,79.68731,67.462006
2009-08-12,92.95,80.54227,66.74139
2009-08-13,93.72,81.15752,67.68765
2009-08-14,93.0,80.53428,67.9497
2009-08-17,91.61,78.55268,68.95421
2009-08-18,92.06,79.17592,68.55386
2009-08-19,92.53,79.87108,69.12162
